Location,Year,Source,TWh
Indonesia,2023,Bio.,22.0
Indonesia,2023,Geo.,17.0
Indonesia,2023,Hydro,25.0
Indonesia,2023,Solar,0.7
Indonesia,2023,Wind,0.5
Laos,2023,Bio.,0.04
Laos,2023,Geo.,0.0
Laos,2023,Hydro,40.0
Laos,2023,Solar,0.08
Laos,2023,Wind,0.0
Malaysia,2023,Bio.,1.0
Malaysia,2023,Geo.,0.0
Malaysia,2023,Hydro,32.0
Malaysia,2023,Solar,3.0
Malaysia,2023,Wind,0.0
Philippines,2023,Bio.,1.0
Philippines,2023,Geo.,10.0
Philippines,2023,Hydro,10.0
Philippines,2023,Solar,2.0
Philippines,2023,Wind,1.0
Thailand,2023,Bio.,14.0
Thailand,2023,Geo.,0.0
Thailand,2023,Hydro,7.0
Thailand,2023,Solar,5.0
Thailand,2023,Wind,4.0
Vietnam,2023,Bio.,0.8
Vietnam,2023,Geo.,0.0
Vietnam,2023,Hydro,81.0
Vietnam,2023,Solar,26.0
Vietnam,2023,Wind,11.0
